Brand channel,Category,Country,Link,Name,Primary language,F1,Rank,Subscribers (millions)
Yes,Music,India,Link,T-Series,Hindi[7][8],0,1,238
Yes,Education,United States,Link,Cocomelon,English,1,2,155
Yes,Entertainment,India,Link,Sony Entertainment Television India,Hindi[9],2,3,153
No,Entertainment,United States,Link,MrBeast,English,3,4,137
No,Games,Sweden,Link,PewDiePie,English,4,5,111
Yes,Entertainment,Ukraine,Link,Kids Diana Show,English[10][11][12],5,6,109
No,Entertainment,United States,Link,Like Nastya,English,6,7,105
No,Entertainment,Russia,Link,Vlad and Niki,English,7,8,94.9
Yes,Sports,United States,Link,WWE,English,8,9,93.8
Yes,Music,India,Link,Zee Music Company,Hindi[13][14],9,10,93.4
Yes,Music,South Korea,Link,Blackpink,Korean,10,11,84.8
Yes,Film,India,Link,Goldmines,Hindi,11,12,83.3
Yes,How-to,Cyprus[a],Link,5-Minute Crafts,English,12,13,79.2
Yes,Entertainment,India,Link,Sony SAB,Hindi,13,14,78.2
No,Music,South Korea,Link,BangtanTV,Korean,14,15,73.9
No,Music,Canada,Link,Justin Bieber,English,15,16,71.1
Yes,Music,South Korea,Link,Hybe Labels,Korean,16,17,69.5
Yes,Music,Brazil,Link,Canal KondZilla,Portuguese,17,18,66.4
Yes,Entertainment,India,Link,Zee TV,Hindi,18,19,66.3
Yes,Education,South Korea,Link,Pinkfong,English,19,20,66.1
Yes,Music,India,Link,Shemaroo Entertainment,Hindi,20,21,64.2
Yes,Education,India,Link,ChuChu TV,Hindi[16],21,22,63.2
Yes,Entertainment,India,Link,Colors TV,Hindi,22,23,60.6
No,Sports,United States,Link,Dude Perfect,English,23,24,59
Yes,Film,United States,Link,Movieclips,English,24,25,58.8
Yes,Music,India,Link,T-Series Bhakti Sagar,Hindi,25,26,58.4
Yes,Entertainment,India,Link,Tips Industries,Hindi,26,27,57.3
Yes,Music,India,Link,Wave Music,Bhojpuri,27,28,56.6
No,Music,United States,Link,Marshmello,English,28,29,56.2
Yes,Music,India,Link,Sony Music India,Hindi,29,30,56.1
Yes,Music,Argentina,Link,El Reino Infantil,Spanish,30,31,56
Yes,News,India,Link,Aaj Tak,Hindi,31,32,55.9
No,Music,United States,Link,Eminem,English,32,33,55.6
Yes,Music,Romania,Link,LooLoo Kids,English,33,34,53.1
No,Music,United Kingdom,Link,Ed Sheeran,English,34,35,53
Yes,Music,India,Link,Yash Raj Films,Hindi,35,36,52.7
No,Music,United States,Link,Ariana Grande,English,36,37,52.4
No,Music,United States,Link,Taylor Swift,English,37,38,51.1
Yes,Entertainment,United States,Link,BillionSurpriseToys,English,38,39,50.6
Yes,Education,India,Link,Infobells,Hindi,39,40,49.8
No,Games,Chile,Link,JuegaGerman,Spanish,40,41,47.6
No,Music,United States,Link,Billie Eilish,English,41,42,47.4
Yes,Entertainment,Mexico,Link,Badabun,Spanish,42,43,46.5
No,Games,El Salvador,Link,Fernanfloo,Spanish,43,44,45.7
No,Music,United States ( Puerto Rico),Link,Bad Bunny,Spanish,44,45,45.4
Yes,Music,India,Link,SonyMusicIndiaVEVO,Hindi,45,46,45.4
Yes,Entertainment,India,Link,Shemaroo,Hindi,46,47,45.2
Yes,Entertainment,Russia,Link,Get Movies,Russian,47,48,45
No,Entertainment,Brazil,Link,Felipe Neto,Portuguese,48,49,44.9
No,Entertainment,Belarus,Link,A4,Russian,49,50,44.6
"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC",50,,
